target,email
0,"Can we move our project meeting to Tuesday morning?"
1,"Congratulations! You won a free vacation. Claim your prize now!"
0,"Please review the attached report before tomorrow's meeting."
1,"URGENT: Your account was selected for a cash reward. Click here."
0,"Dinner is at 7 tonight. Let me know if you can make it."
1,"Earn money from home with no experience required. Apply today!"
0,"The deployment completed successfully and all checks are green."
1,"Exclusive offer: buy one luxury watch and get two free."
0,"Here are the notes and action items from our planning session."
1,"You are our lucky winner! Send your bank details to receive funds."
0,"Your library books are due next Friday."
1,"Limited time deal! Get 90 percent off when you order now."
0,"Could you pick up milk and bread on your way home?"
1,"Act now to unlock a guaranteed loan with no credit check."
0,"The client approved the latest design draft."
1,"Free gift card waiting for you. Confirm your information today."
0,"Your appointment is confirmed for Monday at 10 AM."
1,"Double your investment in one week with this secret opportunity."
0,"Thanks for helping me debug the login issue yesterday."
1,"Winner notification: collect your million dollar jackpot now."
0,"The team lunch reservation is under my name."
1,"Cheap medication available without a prescription. Buy online."
0,"I pushed the requested changes and opened a pull request."
1,"Your payment failed. Verify your password immediately at this link."
0,"Happy birthday! I hope you have a wonderful day."
1,"Get rich fast with our proven trading system. Join now."
0,"Please send me the slides when you have a chance."
1,"Final warning: pay this invoice now to avoid account suspension."
0,"The train arrives at platform four at 6:30 PM."
1,"You qualify for an instant cash advance. No paperwork needed."
0,"Your order has shipped and should arrive on Thursday."
1,"Free ringtone subscription activated. Reply with your card number."
0,"Let's schedule a call to discuss the quarterly budget."
1,"Claim your complimentary cruise tickets before they expire."
0,"Mom asked whether we are visiting this weekend."
1,"Lowest insurance rates guaranteed. Click for an immediate quote."
0,"The password reset you requested has been completed."
1,"Unclaimed inheritance found in your name. Contact our agent urgently."
0,"I have attached the agenda for tomorrow's workshop."
1,"Flash sale ends tonight! Purchase now and receive a mystery bonus."
0,"Your electricity bill for July is ready to view in the customer portal."
1,"Security alert: confirm your banking PIN to prevent permanent closure."
0,"The dentist moved my checkup to Wednesday afternoon."
1,"Selected customer offer: receive free electronics after a short survey."
0,"Can you review the test failures before we merge the release branch?"
1,"Make thousands daily by forwarding this message to five people."
0,"I left your keys with the front desk."
1,"Redeem your guaranteed reward by entering your credit card details."
